flare_id,goes_class,noaa_active_region,primary_verified,secondary_verified,x_hpc,y_hpc,start_time,end_time,peak_time
9017,C1.5,12181,True,True,796.2926539878,-239.1403891058,2014-10-06 21:08:00,2014-10-06 21:41:00,2014-10-06 21:26:00
9024,C1.0,12182,True,True,490.8288584602,-350.5120148901,2014-10-08 13:04:00,2014-10-08 13:20:00,2014-10-08 13:17:00
9025,C2.1,12182,True,True,568.0689312713,-344.3728389236,2014-10-08 16:45:00,2014-10-08 16:56:00,2014-10-08 16:51:00
9026,C2.0,12182,True,True,604.3112489425,-356.2890729078,2014-10-08 19:48:00,2014-10-08 19:58:00,2014-10-08 19:53:00
9028,C3.8,12182,True,True,637.3959288013,-306.6321785522,2014-10-08 22:25:00,2014-10-08 23:03:00,2014-10-08 22:54:00
9029,M1.3,12182,True,True,657.8232703586,-319.8779221991,2014-10-09 01:30:00,2014-10-09 01:47:00,2014-10-09 01:43:00
9031,C1.6,12182,True,True,657.8358000435,-319.8391461591,2014-10-09 03:05:00,2014-10-09 03:39:00,2014-10-09 03:14:00
9032,C1.3,12182,True,True,651.6333820558,-335.8822674548,2014-10-09 04:37:00,2014-10-09 04:48:00,2014-10-09 04:42:00
9034,C1.1,12182,True,True,655.0002414314,-380.8476514022,2014-10-09 06:11:00,2014-10-09 06:18:00,2014-10-09 06:15:00
9038,C1.1,12182,True,True,697.4077211687,-375.4989302976,2014-10-09 10:52:00,2014-10-09 10:57:00,2014-10-09 10:55:00
9039,B7.9,12182,True,True,695.8856772178,-330.4936592042,2014-10-09 11:30:00,2014-10-09 11:49:00,2014-10-09 11:35:00
9040,C1.9,12182,True,True,707.4898110634,-374.0976635075,2014-10-09 12:53:00,2014-10-09 13:20:00,2014-10-09 13:03:00
9041,C1.0,12182,True,True,762.632413973,-290.2578616612,2014-10-09 18:19:00,2014-10-09 18:31:00,2014-10-09 18:23:00
9044,B6.5,12187,True,True,-951.3521876554,-132.9314201479,2014-10-11 03:26:00,2014-10-11 04:25:00,2014-10-11 03:45:00
9045,B9.5,12187,True,True,-936.0098315543,-151.7870064373,2014-10-11 23:04:00,2014-10-11 23:38:00,2014-10-11 23:23:00
9047,B6.2,12187,True,True,-929.7513526266,-155.1188458122,2014-10-12 02:30:00,2014-10-12 02:47:00,2014-10-12 02:40:00
9048,C2.5,12187,True,True,-924.0856637384,-157.7166429873,2014-10-12 05:10:00,2014-10-12 05:21:00,2014-10-12 05:15:00
9049,C1.7,12187,True,False,-920.8228860635,-159.0842301146,2014-10-12 06:19:00,2014-10-12 06:41:00,2014-10-12 06:37:00
9050,B6.7,12187,True,True,-911.3708996444,-162.6481087229,2014-10-12 10:00:00,2014-10-12 10:19:00,2014-10-12 10:13:00
9054,C7.7,12192,True,True,-937.4002566501,-215.3096958364,2014-10-16 07:31:00,2014-10-16 07:47:00,2014-10-16 07:37:00
9055,C6.4,12192,True,True,-937.4118728978,-215.3136445556,2014-10-16 08:35:00,2014-10-16 09:44:00,2014-10-16 09:23:00
9056,M4.3,12192,True,True,-937.21763272,-217.9690618923,2014-10-16 12:58:00,2014-10-16 13:05:00,2014-10-16 13:03:00
9057,C2.0,12192,True,True,-934.8653565925,-222.9340902445,2014-10-16 18:04:00,2014-10-16 18:17:00,2014-10-16 18:10:00
9058,C2.9,12192,True,True,-929.539875502,-228.1882204665,2014-10-16 23:34:00,2014-10-16 23:44:00,2014-10-16 23:38:00
9059,C3.9,12192,True,True,-924.2917715514,-231.7071980613,2014-10-17 03:10:00,2014-10-17 03:33:00,2014-10-17 03:20:00
9060,C6.6,12192,True,True,-921.498003162,-233.2801393242,2014-10-17 04:55:00,2014-10-17 05:06:00,2014-10-17 05:00:00
9062,C6.7,12192,True,True,-913.3098497062,-265.6754900494,2014-10-17 15:34:00,2014-10-17 15:41:00,2014-10-17 15:39:00
9063,C6.3,12192,True,True,-901.495812566,-226.6601561889,2014-10-17 19:28:00,2014-10-17 19:36:00,2014-10-17 19:33:00
9064,C2.3,12192,True,True,-880.5767429366,-248.1049807038,2014-10-17 20:43:00,2014-10-17 21:18:00,2014-10-17 21:12:00
9066,C3.7,12192,True,True,-893.2584459835,-244.3175619468,2014-10-18 06:43:00,2014-10-18 06:48:00,2014-10-18 06:46:00
9068,C2.6,12192,True,True,-832.0753470613,-258.7868485415,2014-10-18 13:01:00,2014-10-18 13:19:00,2014-10-18 13:15:00
9069,C1.7,12192,True,True,-826.8688214156,-259.7363920082,2014-10-18 14:22:00,2014-10-18 14:28:00,2014-10-18 14:25:00
9070,C2.6,12192,True,True,-896.829752076,-227.9659267607,2014-10-18 15:59:00,2014-10-18 16:06:00,2014-10-18 16:03:00
9071,C2.1,12192,True,True,-886.2576272625,-231.028096751,2014-10-18 17:01:00,2014-10-18 17:07:00,2014-10-18 17:04:00
9075,C5.7,12192,True,True,-770.0711346043,-268.625158125,2014-10-19 01:17:00,2014-10-19 03:25:00,2014-10-19 01:47:00
9076,X1.1,12192,True,True,-751.7818758923,-271.0365516124,2014-10-19 04:17:00,2014-10-19 05:48:00,2014-10-19 05:03:00
9077,C4.2,12192,True,True,-817.1633938968,-197.7445009471,2014-10-19 11:05:00,2014-10-19 11:25:00,2014-10-19 11:19:00
9078,C5.8,12192,True,True,-808.5350618002,-199.1016064023,2014-10-19 12:08:00,2014-10-19 12:28:00,2014-10-19 12:14:00
9080,C4.7,12192,True,True,-685.6382737004,-278.3692647293,2014-10-19 17:30:00,2014-10-19 17:37:00,2014-10-19 17:34:00
9083,C2.5,12192,True,True,-720.9341290989,-274.2535854424,2014-10-20 00:49:00,2014-10-20 00:56:00,2014-10-20 00:53:00
9084,C2.8,12192,True,True,-559.0625011378,-397.5258100858,2014-10-20 01:58:00,2014-10-20 02:04:00,2014-10-20 02:01:00
9086,C5.4,12192,True,True,-664.5472392177,-342.5522528109,2014-10-20 03:32:00,2014-10-20 04:05:00,2014-10-20 03:57:00
9087,C9.0,12192,True,True,-707.5475596332,-337.8264988328,2014-10-20 05:37:00,2014-10-20 06:09:00,2014-10-20 06:02:00
9088,M3.9,12192,True,True,-575.1311563423,-287.5737381423,2014-10-20 09:00:00,2014-10-20 09:20:00,2014-10-20 09:11:00
9089,C2.8,12192,True,True,-670.7279151857,-247.4090544594,2014-10-20 11:19:00,2014-10-20 11:30:00,2014-10-20 11:27:00
9090,C2.7,12192,True,True,-658.9772025452,-248.4298672337,2014-10-20 13:58:00,2014-10-20 14:11:00,2014-10-20 14:08:00
9094,C6.2,12192,True,True,-513.777317632,-291.3797078032,2014-10-20 18:43:00,2014-10-20 18:51:00,2014-10-20 18:47:00
9096,M1.7,12192,True,True,-503.4250518996,-291.969080777,2014-10-20 19:53:00,2014-10-20 20:13:00,2014-10-20 20:04:00
9097,M1.2,12192,True,True,-551.4039384467,-304.5938839822,2014-10-20 22:43:00,2014-10-20 23:13:00,2014-10-20 22:55:00
9099,C5.7,12192,True,True,-418.4765164005,-296.0911133365,2014-10-21 06:05:00,2014-10-21 06:21:00,2014-10-21 06:14:00
9100,C2.9,12192,True,True,-454.9807500972,-310.1377174087,2014-10-21 06:53:00,2014-10-21 07:02:00,2014-10-21 06:57:00
9101,C3.1,12192,True,True,-449.7362328745,-213.5132225563,2014-10-21 08:08:00,2014-10-21 08:12:00,2014-10-21 08:10:00
9105,C4.0,12192,True,True,-348.9564813371,-314.3686523646,2014-10-21 19:03:00,2014-10-21 19:16:00,2014-10-21 19:10:00
9106,C6.5,12192,True,True,-393.0196836849,-344.0730016047,2014-10-21 20:11:00,2014-10-21 20:25:00,2014-10-21 20:20:00
9107,C3.4,12192,True,True,-323.0964578839,-315.169073933,2014-10-21 21:54:00,2014-10-21 22:14:00,2014-10-21 22:04:00
9108,M8.7,12192,True,True,-287.717558366,-316.1531021434,2014-10-22 01:16:00,2014-10-22 02:28:00,2014-10-22 01:59:00
9109,M2.7,12192,True,True,-257.5478821117,-316.8189883033,2014-10-22 05:11:00,2014-10-22 05:21:00,2014-10-22 05:17:00
9112,X1.6,12192,True,True,-211.2828070973,-317.4839566849,2014-10-22 14:02:00,2014-10-22 14:50:00,2014-10-22 14:28:00
9116,C3.7,12192,True,True,-55.6600022344,-286.7308176298,2014-10-23 04:19:00,2014-10-23 04:42:00,2014-10-23 04:30:00
9118,M1.1,12192,True,True,-48.7120930729,-350.2524094455,2014-10-23 09:44:00,2014-10-23 09:56:00,2014-10-23 09:50:00
9119,C4.6,12192,True,True,-33.3840903379,-237.4203851731,2014-10-23 15:20:00,2014-10-23 16:09:00,2014-10-23 15:39:00
9120,C5.9,12192,True,True,-33.3850344121,-237.280786445,2014-10-23 17:46:00,2014-10-23 18:08:00,2014-10-23 17:58:00
9121,C3.3,12192,True,True,-78.7797474375,-426.8427372334,2014-10-23 19:11:00,2014-10-23 19:18:00,2014-10-23 19:15:00
9122,C4.2,12192,True,True,31.7563673166,-411.5127740457,2014-10-24 02:35:00,2014-10-24 02:48:00,2014-10-24 02:43:00
9124,C3.6,12192,True,True,0.0,-441.8029630726,2014-10-24 03:56:00,2014-10-24 04:02:00,2014-10-24 04:00:00
9125,M4.0,12192,True,True,172.071546381,-316.0212591874,2014-10-24 07:37:00,2014-10-24 07:53:00,2014-10-24 07:48:00
9126,C3.6,12192,True,True,192.8803915771,-315.5186089948,2014-10-24 09:58:00,2014-10-24 10:04:00,2014-10-24 10:01:00
9127,C5.1,12192,True,True,210.444343493,-330.825585693,2014-10-24 14:31:00,2014-10-24 15:54:00,2014-10-24 15:06:00
9128,X3.1,12192,True,True,333.5934303883,-342.8676117024,2014-10-24 21:07:00,2014-10-24 22:13:00,2014-10-24 21:41:00
9129,C4.4,12192,True,True,391.0141307872,-194.9877129938,2014-10-25 04:06:00,2014-10-25 04:17:00,2014-10-25 04:13:00
9130,C9.2,12192,True,True,367.1801278686,-309.4384231229,2014-10-25 07:36:00,2014-10-25 08:35:00,2014-10-25 08:08:00
9131,C4.6,12192,True,True,426.214562301,-274.8263129811,2014-10-25 09:44:00,2014-10-25 09:55:00,2014-10-25 09:49:00
